Video	Video title	Video publish time	Average view duration	Unique viewers	Average percentage viewed (%)	Views	Watch time (hours)	Subscribers	Impressions	Impressions click-through rate (%)
9_pisXHWP0o	BEST DRIBBLE MOVES TO GET OPEN FOR SH0TS	"Oct 23, 2017"	0:02:56	71	29.15	81	3.9682	0	2741	1.86
3vz3v7tFsXo	"Q&A - Plans for NBA 2K17, Hottest YouTuber, Life Goals"	"Sep 7, 2016"	0:01:09	176	14.8	202	3.9115	0	1928	8.61
8T6swododhU	USING NBA 2K18 PICK-UP LINES TO GET GIRLS NUMBERS IN REAL LIFE!! (CRINGY)	"Sep 11, 2017"	0:03:18	63	26.33	70	3.8599	0	2324	1.81
bPqXucQ-6sg	NBA 2K17 - 4 ARCHETYPES THAT YOU SHOULD NEVER CHOOSE IN NBA 2K17	"Sep 11, 2016"	0:02:57	59	53.69	78	3.8506	0	2365	2.03
uFDhqLMskgM	NBA 2K17 - HOW TO BE AN INCREDIBLY CONSISTENT 3-POINT SHOOTER IN NBA 2K17	"Sep 16, 2016"	0:02:19	89	32.12	99	3.842	0	2096	2.05
KNrP5AdsdVA	NBA 2K17 Mythbusters - FINDING OUT WHETHER STRENGTH IS WORTH UPGRADING	"Jan 2, 2017"	0:02:31	76	30.86	89	3.7455	0	2220	2.97
7Dk0ocQZtMY	REBUILDING CHALLENGE VS. JOSH - HOW CAN HE EVEN PULL THIS OFF?!?!	"Aug 29, 2016"	0:04:18	49	38.08	52	3.7406	0	2278	1.71
eZm5ImgUCrI	MY DUO PARTNER WAS LEFT STRANDED AT SPAWN ISLAND in FORTNITE BATTLE ROYALE	"Apr 1, 2018"	0:03:32	54	34.21	63	3.7182	0	2438	1.31
Sghwrns4ciM	ADD THIS TO THE BEGINNING OF YOUR JUMPSHOT FOR MASSIVE GREEN LIGHT %!!  BEST JUMPSHOTS ON NBA 2K17	"May 18, 2017"	0:01:48	99	31.49	119	3.5909	0	2659	2.75
Wjb8eIeXh2M	i'm dropping out of school for NBA 2K18...	"Aug 28, 2017"	0:01:35	122	14.87	133	3.5273	0	1968	5.69
pPUSUM5lu0g	nba 2k18 except its only cutscenes	"Feb 10, 2018"	0:01:57	98	33.35	104	3.3818	0	4373	1.53
6LDtmWlnQGY	BLACK WATER RUINED ALL MY CLOTHES...	"Feb 2, 2018"	0:02:32	71	28.9	78	3.3059	0	2415	2.53
